No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
1,Telur Ayam Ras Segar,12/07/2022,28000,Idul Adha 2022
V,Bawang Merah,12/07/2022,69550,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,12/07/2022,69550,Idul Adha 2022
VI,Bawang Putih,12/07/2022,29450,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,12/07/2022,29450,Idul Adha 2022
VII,Cabai Merah,12/07/2022,114950,Idul Adha 2022
1,Cabai Merah Besar,12/07/2022,120700,Idul Adha 2022
2,Cabai Merah Keriting ,12/07/2022,109150,Idul Adha 2022
VIII,Cabai Rawit,12/07/2022,103550,Idul Adha 2022
1,Cabai Rawit Hijau,12/07/2022,94600,Idul Adha 2022
2,Cabai Rawit Merah,12/07/2022,112500,Idul Adha 2022
IX,Minyak Goreng,12/07/2022,20500,Idul Adha 2022
1,Minyak Goreng Curah,12/07/2022,14500,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,12/07/2022,23850,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,12/07/2022,23100,Idul Adha 2022
X,Gula Pasir,12/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,12/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,12/07/2022,14450,Idul Adha 2022
I,Beras,13/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,13/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,13/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,13/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,13/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,13/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,13/07/2022,12350,Idul Adha 2022
II,Daging Ayam,13/07/2022,38550,Idul Adha 2022
1,Daging Ayam Ras Segar,13/07/2022,38550,Idul Adha 2022
III,Daging Sapi,13/07/2022,142250,Idul Adha 2022
1,Daging Sapi Kualitas 1,13/07/2022,147100,Idul Adha 2022
2,Daging Sapi Kualitas 2,13/07/2022,137350,Idul Adha 2022
IV,Telur Ayam,13/07/2022,28050,Idul Adha 2022
1,Telur Ayam Ras Segar,13/07/2022,28050,Idul Adha 2022
V,Bawang Merah,13/07/2022,68700,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,13/07/2022,68700,Idul Adha 2022
VI,Bawang Putih,13/07/2022,29300,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,13/07/2022,29300,Idul Adha 2022
VII,Cabai Merah,13/07/2022,113950,Idul Adha 2022
1,Cabai Merah Besar,13/07/2022,120150,Idul Adha 2022
2,Cabai Merah Keriting ,13/07/2022,107800,Idul Adha 2022
VIII,Cabai Rawit,13/07/2022,102550,Idul Adha 2022
1,Cabai Rawit Hijau,13/07/2022,93600,Idul Adha 2022
2,Cabai Rawit Merah,13/07/2022,111550,Idul Adha 2022
IX,Minyak Goreng,13/07/2022,20450,Idul Adha 2022
1,Minyak Goreng Curah,13/07/2022,14450,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,13/07/2022,23850,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,13/07/2022,23050,Idul Adha 2022
X,Gula Pasir,13/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,13/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,13/07/2022,14450,Idul Adha 2022
I,Beras,14/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,14/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,14/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,14/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,14/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,14/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,14/07/2022,12350,Idul Adha 2022
II,Daging Ayam,14/07/2022,37750,Idul Adha 2022
1,Daging Ayam Ras Segar,14/07/2022,37750,Idul Adha 2022
III,Daging Sapi,14/07/2022,141950,Idul Adha 2022
1,Daging Sapi Kualitas 1,14/07/2022,146800,Idul Adha 2022
2,Daging Sapi Kualitas 2,14/07/2022,137100,Idul Adha 2022
IV,Telur Ayam,14/07/2022,28050,Idul Adha 2022
1,Telur Ayam Ras Segar,14/07/2022,28050,Idul Adha 2022
V,Bawang Merah,14/07/2022,66300,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,14/07/2022,66300,Idul Adha 2022
VI,Bawang Putih,14/07/2022,28900,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,14/07/2022,28900,Idul Adha 2022
VII,Cabai Merah,14/07/2022,107300,Idul Adha 2022
1,Cabai Merah Besar,14/07/2022,113450,Idul Adha 2022
2,Cabai Merah Keriting ,14/07/2022,101100,Idul Adha 2022
VIII,Cabai Rawit,14/07/2022,97400,Idul Adha 2022
1,Cabai Rawit Hijau,14/07/2022,90900,Idul Adha 2022
2,Cabai Rawit Merah,14/07/2022,103900,Idul Adha 2022
IX,Minyak Goreng,14/07/2022,20300,Idul Adha 2022
1,Minyak Goreng Curah,14/07/2022,14450,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,14/07/2022,23650,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,14/07/2022,22800,Idul Adha 2022
X,Gula Pasir,14/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,14/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,14/07/2022,14450,Idul Adha 2022
I,Beras,15/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,15/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,15/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,15/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,15/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,15/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,15/07/2022,12350,Idul Adha 2022
II,Daging Ayam,15/07/2022,37100,Idul Adha 2022
1,Daging Ayam Ras Segar,15/07/2022,37100,Idul Adha 2022
III,Daging Sapi,15/07/2022,141950,Idul Adha 2022
1,Daging Sapi Kualitas 1,15/07/2022,146800,Idul Adha 2022
2,Daging Sapi Kualitas 2,15/07/2022,137100,Idul Adha 2022
IV,Telur Ayam,15/07/2022,28150,Idul Adha 2022
1,Telur Ayam Ras Segar,15/07/2022,28150,Idul Adha 2022
V,Bawang Merah,15/07/2022,65200,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,15/07/2022,65200,Idul Adha 2022
VI,Bawang Putih,15/07/2022,28850,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,15/07/2022,28850,Idul Adha 2022
VII,Cabai Merah,15/07/2022,102450,Idul Adha 2022
1,Cabai Merah Besar,15/07/2022,108900,Idul Adha 2022
2,Cabai Merah Keriting ,15/07/2022,95950,Idul Adha 2022
VIII,Cabai Rawit,15/07/2022,92700,Idul Adha 2022
1,Cabai Rawit Hijau,15/07/2022,85550,Idul Adha 2022
2,Cabai Rawit Merah,15/07/2022,99850,Idul Adha 2022
IX,Minyak Goreng,15/07/2022,20250,Idul Adha 2022
1,Minyak Goreng Curah,15/07/2022,14350,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,15/07/2022,23600,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,15/07/2022,22800,Idul Adha 2022
X,Gula Pasir,15/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,15/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,15/07/2022,14500,Idul Adha 2022
I,Beras,18/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,18/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,18/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,18/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,18/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,18/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,18/07/2022,12350,Idul Adha 2022
II,Daging Ayam,18/07/2022,36850,Idul Adha 2022
1,Daging Ayam Ras Segar,18/07/2022,36850,Idul Adha 2022
III,Daging Sapi,18/07/2022,141800,Idul Adha 2022
1,Daging Sapi Kualitas 1,18/07/2022,146650,Idul Adha 2022
2,Daging Sapi Kualitas 2,18/07/2022,136950,Idul Adha 2022
IV,Telur Ayam,18/07/2022,28200,Idul Adha 2022
1,Telur Ayam Ras Segar,18/07/2022,28200,Idul Adha 2022
V,Bawang Merah,18/07/2022,60800,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,18/07/2022,60800,Idul Adha 2022
VI,Bawang Putih,18/07/2022,28950,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,18/07/2022,28950,Idul Adha 2022
VII,Cabai Merah,18/07/2022,98550,Idul Adha 2022
1,Cabai Merah Besar,18/07/2022,103350,Idul Adha 2022
2,Cabai Merah Keriting ,18/07/2022,93750,Idul Adha 2022
VIII,Cabai Rawit,18/07/2022,84600,Idul Adha 2022
1,Cabai Rawit Hijau,18/07/2022,76800,Idul Adha 2022
2,Cabai Rawit Merah,18/07/2022,92350,Idul Adha 2022
IX,Minyak Goreng,18/07/2022,20050,Idul Adha 2022
1,Minyak Goreng Curah,18/07/2022,14250,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,18/07/2022,23350,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,18/07/2022,22550,Idul Adha 2022
X,Gula Pasir,18/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,18/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,18/07/2022,14500,Idul Adha 2022
I,Beras,19/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,19/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,19/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,19/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,19/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,19/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,19/07/2022,12350,Idul Adha 2022
II,Daging Ayam,19/07/2022,36950,Idul Adha 2022
1,Daging Ayam Ras Segar,19/07/2022,36950,Idul Adha 2022
III,Daging Sapi,19/07/2022,141800,Idul Adha 2022
1,Daging Sapi Kualitas 1,19/07/2022,146650,Idul Adha 2022
2,Daging Sapi Kualitas 2,19/07/2022,136950,Idul Adha 2022
IV,Telur Ayam,19/07/2022,28200,Idul Adha 2022
1,Telur Ayam Ras Segar,19/07/2022,28200,Idul Adha 2022
V,Bawang Merah,19/07/2022,60350,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,19/07/2022,60350,Idul Adha 2022
VI,Bawang Putih,19/07/2022,29000,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,19/07/2022,29000,Idul Adha 2022
VII,Cabai Merah,19/07/2022,97150,Idul Adha 2022
1,Cabai Merah Besar,19/07/2022,101950,Idul Adha 2022
2,Cabai Merah Keriting ,19/07/2022,92350,Idul Adha 2022
VIII,Cabai Rawit,19/07/2022,78950,Idul Adha 2022
1,Cabai Rawit Hijau,19/07/2022,69300,Idul Adha 2022
2,Cabai Rawit Merah,19/07/2022,88600,Idul Adha 2022
IX,Minyak Goreng,19/07/2022,19850,Idul Adha 2022
1,Minyak Goreng Curah,19/07/2022,14000,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,19/07/2022,23200,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,19/07/2022,22350,Idul Adha 2022
X,Gula Pasir,19/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,19/07/2022,15200,Idul Adha 2022
2,Gula Pasir Lokal,19/07/2022,14500,Idul Adha 2022
I,Beras,20/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,20/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,20/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,20/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,20/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,20/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,20/07/2022,12350,Idul Adha 2022
II,Daging Ayam,20/07/2022,36950,Idul Adha 2022
1,Daging Ayam Ras Segar,20/07/2022,36950,Idul Adha 2022
III,Daging Sapi,20/07/2022,141800,Idul Adha 2022
1,Daging Sapi Kualitas 1,20/07/2022,146650,Idul Adha 2022
2,Daging Sapi Kualitas 2,20/07/2022,136950,Idul Adha 2022
IV,Telur Ayam,20/07/2022,28150,Idul Adha 2022
1,Telur Ayam Ras Segar,20/07/2022,28150,Idul Adha 2022
V,Bawang Merah,20/07/2022,58550,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,20/07/2022,58550,Idul Adha 2022
VI,Bawang Putih,20/07/2022,29000,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,20/07/2022,29000,Idul Adha 2022
VII,Cabai Merah,20/07/2022,94750,Idul Adha 2022
1,Cabai Merah Besar,20/07/2022,100350,Idul Adha 2022
2,Cabai Merah Keriting ,20/07/2022,89150,Idul Adha 2022
VIII,Cabai Rawit,20/07/2022,75650,Idul Adha 2022
1,Cabai Rawit Hijau,20/07/2022,64150,Idul Adha 2022
2,Cabai Rawit Merah,20/07/2022,87100,Idul Adha 2022
IX,Minyak Goreng,20/07/2022,19800,Idul Adha 2022
1,Minyak Goreng Curah,20/07/2022,14250,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,20/07/2022,23050,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,20/07/2022,22100,Idul Adha 2022
X,Gula Pasir,20/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,20/07/2022,15150,Idul Adha 2022
2,Gula Pasir Lokal,20/07/2022,14500,Idul Adha 2022
I,Beras,21/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,21/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,21/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,21/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,21/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,21/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,21/07/2022,12350,Idul Adha 2022
II,Daging Ayam,21/07/2022,37250,Idul Adha 2022
1,Daging Ayam Ras Segar,21/07/2022,37250,Idul Adha 2022
III,Daging Sapi,21/07/2022,141800,Idul Adha 2022
1,Daging Sapi Kualitas 1,21/07/2022,146650,Idul Adha 2022
2,Daging Sapi Kualitas 2,21/07/2022,136950,Idul Adha 2022
IV,Telur Ayam,21/07/2022,28150,Idul Adha 2022
1,Telur Ayam Ras Segar,21/07/2022,28150,Idul Adha 2022
V,Bawang Merah,21/07/2022,56250,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,21/07/2022,56250,Idul Adha 2022
VI,Bawang Putih,21/07/2022,29000,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,21/07/2022,29000,Idul Adha 2022
VII,Cabai Merah,21/07/2022,92150,Idul Adha 2022
1,Cabai Merah Besar,21/07/2022,96650,Idul Adha 2022
2,Cabai Merah Keriting ,21/07/2022,87650,Idul Adha 2022
VIII,Cabai Rawit,21/07/2022,71500,Idul Adha 2022
1,Cabai Rawit Hijau,21/07/2022,59300,Idul Adha 2022
2,Cabai Rawit Merah,21/07/2022,83650,Idul Adha 2022
IX,Minyak Goreng,21/07/2022,19800,Idul Adha 2022
1,Minyak Goreng Curah,21/07/2022,14300,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,21/07/2022,23050,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,21/07/2022,22050,Idul Adha 2022
X,Gula Pasir,21/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,21/07/2022,15150,Idul Adha 2022
2,Gula Pasir Lokal,21/07/2022,14500,Idul Adha 2022
I,Beras,22/07/2022,11300,Idul Adha 2022
1,Beras Kualitas Bawah I,22/07/2022,10200,Idul Adha 2022
2,Beras Kualitas Bawah II,22/07/2022,9600,Idul Adha 2022
3,Beras Kualitas Medium I,22/07/2022,11450,Idul Adha 2022
4,Beras Kualitas Medium II,22/07/2022,11000,Idul Adha 2022
5,Beras Kualitas Super I,22/07/2022,13150,Idul Adha 2022
6,Beras Kualitas Super II,22/07/2022,12350,Idul Adha 2022
II,Daging Ayam,22/07/2022,37350,Idul Adha 2022
1,Daging Ayam Ras Segar,22/07/2022,37350,Idul Adha 2022
III,Daging Sapi,22/07/2022,141800,Idul Adha 2022
1,Daging Sapi Kualitas 1,22/07/2022,146650,Idul Adha 2022
2,Daging Sapi Kualitas 2,22/07/2022,136950,Idul Adha 2022
IV,Telur Ayam,22/07/2022,28150,Idul Adha 2022
1,Telur Ayam Ras Segar,22/07/2022,28150,Idul Adha 2022
V,Bawang Merah,22/07/2022,51850,Idul Adha 2022
1,Bawang Merah Ukuran Sedang,22/07/2022,51850,Idul Adha 2022
VI,Bawang Putih,22/07/2022,29050,Idul Adha 2022
1,Bawang Putih Ukuran Sedang,22/07/2022,29050,Idul Adha 2022
VII,Cabai Merah,22/07/2022,89950,Idul Adha 2022
1,Cabai Merah Besar,22/07/2022,94450,Idul Adha 2022
2,Cabai Merah Keriting ,22/07/2022,85400,Idul Adha 2022
VIII,Cabai Rawit,22/07/2022,69400,Idul Adha 2022
1,Cabai Rawit Hijau,22/07/2022,56250,Idul Adha 2022
2,Cabai Rawit Merah,22/07/2022,82550,Idul Adha 2022
IX,Minyak Goreng,22/07/2022,19800,Idul Adha 2022
1,Minyak Goreng Curah,22/07/2022,14300,Idul Adha 2022
2,Minyak Goreng Kemasan Bermerk 1,22/07/2022,23050,Idul Adha 2022
3,Minyak Goreng Kemasan Bermerk 2,22/07/2022,22050,Idul Adha 2022
X,Gula Pasir,22/07/2022,14850,Idul Adha 2022
1,Gula Pasir Kualitas Premium,22/07/2022,15150,Idul Adha 2022
2,Gula Pasir Lokal,22/07/2022,14500,Idul Adha 2022
I,Beras,30/05/2023,12400,Idul Adha 2023
1,Beras Kualitas Bawah I,30/05/2023,11450,Idul Adha 2023
2,Beras Kualitas Bawah II,30/05/2023,11000,Idul Adha 2023
3,Beras Kualitas Medium I,30/05/2023,12600,Idul Adha 2023
4,Beras Kualitas Medium II,30/05/2023,12100,Idul Adha 2023
5,Beras Kualitas Super I,30/05/2023,14150,Idul Adha 2023
6,Beras Kualitas Super II,30/05/2023,13250,Idul Adha 2023
II,Daging Ayam,30/05/2023,37400,Idul Adha 2023
1,Daging Ayam Ras Segar,30/05/2023,37400,Idul Adha 2023
III,Daging Sapi,30/05/2023,140650,Idul Adha 2023
1,Daging Sapi Kualitas 1,30/05/2023,145300,Idul Adha 2023
2,Daging Sapi Kualitas 2,30/05/2023,135950,Idul Adha 2023
IV,Telur Ayam,30/05/2023,31750,Idul Adha 2023
1,Telur Ayam Ras Segar,30/05/2023,31750,Idul Adha 2023
V,Bawang Merah,30/05/2023,43300,Idul Adha 2023
1,Bawang Merah Ukuran Sedang,30/05/2023,43300,Idul Adha 2023
VI,Bawang Putih,30/05/2023,38800,Idul Adha 2023
1,Bawang Putih Ukuran Sedang,30/05/2023,38800,Idul Adha 2023
VII,Cabai Merah,30/05/2023,42400,Idul Adha 2023
1,Cabai Merah Besar,30/05/2023,49100,Idul Adha 2023
2,Cabai Merah Keriting ,30/05/2023,35650,Idul Adha 2023
VIII,Cabai Rawit,30/05/2023,44850,Idul Adha 2023
1,Cabai Rawit Hijau,30/05/2023,41900,Idul Adha 2023
2,Cabai Rawit Merah,30/05/2023,47800,Idul Adha 2023
IX,Minyak Goreng,30/05/2023,18300,Idul Adha 2023
1,Minyak Goreng Curah,30/05/2023,15750,Idul Adha 2023
2,Minyak Goreng Kemasan Bermerk 1,30/05/2023,20150,Idul Adha 2023
3,Minyak Goreng Kemasan Bermerk 2,30/05/2023,18950,Idul Adha 2023
X,Gula Pasir,30/05/2023,14950,Idul Adha 2023
1,Gula Pasir Kualitas Premium,30/05/2023,15100,Idul Adha 2023
2,Gula Pasir Lokal,30/05/2023,14750,Idul Adha 2023
I,Beras,31/05/2023,12400,Idul Adha 2023
1,Beras Kualitas Bawah I,31/05/2023,11450,Idul Adha 2023
2,Beras Kualitas Bawah II,31/05/2023,10950,Idul Adha 2023
3,Beras Kualitas Medium I,31/05/2023,12600,Idul Adha 2023
4,Beras Kualitas Medium II,31/05/2023,12050,Idul Adha 2023
5,Beras Kualitas Super I,31/05/2023,14150,Idul Adha 2023
6,Beras Kualitas Super II,31/05/2023,13250,Idul Adha 2023
II,Daging Ayam,31/05/2023,37250,Idul Adha 2023
1,Daging Ayam Ras Segar,31/05/2023,37250,Idul Adha 2023
III,Daging Sapi,31/05/2023,140650,Idul Adha 2023
1,Daging Sapi Kualitas 1,31/05/2023,145300,Idul Adha 2023
2,Daging Sapi Kualitas 2,31/05/2023,135950,Idul Adha 2023
IV,Telur Ayam,31/05/2023,31700,Idul Adha 2023
1,Telur Ayam Ras Segar,31/05/2023,31700,Idul Adha 2023
V,Bawang Merah,31/05/2023,42800,Idul Adha 2023
1,Bawang Merah Ukuran Sedang,31/05/2023,42800,Idul Adha 2023
VI,Bawang Putih,31/05/2023,38800,Idul Adha 2023
1,Bawang Putih Ukuran Sedang,31/05/2023,38800,Idul Adha 2023
VII,Cabai Merah,31/05/2023,41250,Idul Adha 2023
1,Cabai Merah Besar,31/05/2023,47400,Idul Adha 2023
2,Cabai Merah Keriting ,31/05/2023,35050,Idul Adha 2023
VIII,Cabai Rawit,31/05/2023,44850,Idul Adha 2023
1,Cabai Rawit Hijau,31/05/2023,41900,Idul Adha 2023
2,Cabai Rawit Merah,31/05/2023,47800,Idul Adha 2023
IX,Minyak Goreng,31/05/2023,18300,Idul Adha 2023
1,Minyak Goreng Curah,31/05/2023,15750,Idul Adha 2023
2,Minyak Goreng Kemasan Bermerk 1,31/05/2023,20150,Idul Adha 2023
3,Minyak Goreng Kemasan Bermerk 2,31/05/2023,18950,Idul Adha 2023
X,Gula Pasir,31/05/2023,15000,Idul Adha 2023
1,Gula Pasir Kualitas Premium,31/05/2023,15200,Idul Adha 2023
2,Gula Pasir Lokal,31/05/2023,14750,Idul Adha 2023
I,Beras,01/06/2023,12400,Idul Adha 2023
1,Beras Kualitas Bawah I,01/06/2023,11450,Idul Adha 2023
2,Beras Kualitas Bawah II,01/06/2023,10950,Idul Adha 2023
3,Beras Kualitas Medium I,01/06/2023,12600,Idul Adha 2023
4,Beras Kualitas Medium II,01/06/2023,12050,Idul Adha 2023
5,Beras Kualitas Super I,01/06/2023,14150,Idul Adha 2023
6,Beras Kualitas Super II,01/06/2023,13250,Idul Adha 2023
II,Daging Ayam,01/06/2023,37250,Idul Adha 2023
1,Daging Ayam Ras Segar,01/06/2023,37250,Idul Adha 2023
III,Daging Sapi,01/06/2023,140650,Idul Adha 2023
1,Daging Sapi Kualitas 1,01/06/2023,145300,Idul Adha 2023
2,Daging Sapi Kualitas 2,01/06/2023,135950,Idul Adha 2023
IV,Telur Ayam,01/06/2023,31700,Idul Adha 2023
1,Telur Ayam Ras Segar,01/06/2023,31700,Idul Adha 2023
V,Bawang Merah,01/06/2023,42800,Idul Adha 2023
1,Bawang Merah Ukuran Sedang,01/06/2023,42800,Idul Adha 2023
VI,Bawang Putih,01/06/2023,38800,Idul Adha 2023
1,Bawang Putih Ukuran Sedang,01/06/2023,38800,Idul Adha 2023
VII,Cabai Merah,01/06/2023,41250,Idul Adha 2023
1,Cabai Merah Besar,01/06/2023,47400,Idul Adha 2023
2,Cabai Merah Keriting ,01/06/2023,35050,Idul Adha 2023
VIII,Cabai Rawit,01/06/2023,44850,Idul Adha 2023
1,Cabai Rawit Hijau,01/06/2023,41900,Idul Adha 2023
2,Cabai Rawit Merah,01/06/2023,47800,Idul Adha 2023
IX,Minyak Goreng,01/06/2023,18300,Idul Adha 2023
1,Minyak Goreng Curah,01/06/2023,15750,Idul Adha 2023
2,Minyak Goreng Kemasan Bermerk 1,01/06/2023,20150,Idul Adha 2023
3,Minyak Goreng Kemasan Bermerk 2,01/06/2023,18950,Idul Adha 2023
X,Gula Pasir,01/06/2023,15000,Idul Adha 2023
1,Gula Pasir Kualitas Premium,01/06/2023,15200,Idul Adha 2023
2,Gula Pasir Lokal,01/06/2023,14750,Idul Adha 2023
I,Beras,02/06/2023,12400,Idul Adha 2023
1,Beras Kualitas Bawah I,02/06/2023,11450,Idul Adha 2023
2,Beras Kualitas Bawah II,02/06/2023,10950,Idul Adha 2023
3,Beras Kualitas Medium I,02/06/2023,12600,Idul Adha 2023
4,Beras Kualitas Medium II,02/06/2023,12050,Idul Adha 2023
5,Beras Kualitas Super I,02/06/2023,14150,Idul Adha 2023
6,Beras Kualitas Super II,02/06/2023,13250,Idul Adha 2023
II,Daging Ayam,02/06/2023,37250,Idul Adha 2023
1,Daging Ayam Ras Segar,02/06/2023,37250,Idul Adha 2023
III,Daging Sapi,02/06/2023,140650,Idul Adha 2023
1,Daging Sapi Kualitas 1,02/06/2023,145300,Idul Adha 2023
2,Daging Sapi Kualitas 2,02/06/2023,135950,Idul Adha 2023
IV,Telur Ayam,02/06/2023,31700,Idul Adha 2023
1,Telur Ayam Ras Segar,02/06/2023,31700,Idul Adha 2023
V,Bawang Merah,02/06/2023,42800,Idul Adha 2023
1,Bawang Merah Ukuran Sedang,02/06/2023,42800,Idul Adha 2023
VI,Bawang Putih,02/06/2023,38800,Idul Adha 2023
1,Bawang Putih Ukuran Sedang,02/06/2023,38800,Idul Adha 2023
VII,Cabai Merah,02/06/2023,41250,Idul Adha 2023
1,Cabai Merah Besar,02/06/2023,47400,Idul Adha 2023
2,Cabai Merah Keriting ,02/06/2023,35050,Idul Adha 2023
VIII,Cabai Rawit,02/06/2023,44850,Idul Adha 2023
1,Cabai Rawit Hijau,02/06/2023,41900,Idul Adha 2023
2,Cabai Rawit Merah,02/06/2023,47800,Idul Adha 2023
IX,Minyak Goreng,02/06/2023,18300,Idul Adha 2023
1,Minyak Goreng Curah,02/06/2023,15750,Idul Adha 2023
2,Minyak Goreng Kemasan Bermerk 1,02/06/2023,20150,Idul Adha 2023
3,Minyak Goreng Kemasan Bermerk 2,02/06/2023,18950,Idul Adha 2023
X,Gula Pasir,02/06/2023,15000,Idul Adha 2023
1,Gula Pasir Kualitas Premium,02/06/2023,15200,Idul Adha 2023
2,Gula Pasir Lokal,02/06/2023,14750,Idul Adha 2023
I,Beras,05/06/2023,12400,Idul Adha 2023
1,Beras Kualitas Bawah I,05/06/2023,11450,Idul Adha 2023
2,Beras Kualitas Bawah II,05/06/2023,10950,Idul Adha 2023
3,Beras Kualitas Medium I,05/06/2023,12600,Idul Adha 2023
4,Beras Kualitas Medium II,05/06/2023,12050,Idul Adha 2023
5,Beras Kualitas Super I,05/06/2023,14150,Idul Adha 2023
6,Beras Kualitas Super II,05/06/2023,13250,Idul Adha 2023
II,Daging Ayam,05/06/2023,38300,Idul Adha 2023
1,Daging Ayam Ras Segar,05/06/2023,38300,Idul Adha 2023
III,Daging Sapi,05/06/2023,140650,Idul Adha 2023
1,Daging Sapi Kualitas 1,05/06/2023,145300,Idul Adha 2023
2,Daging Sapi Kualitas 2,05/06/2023,135950,Idul Adha 2023
IV,Telur Ayam,05/06/2023,31250,Idul Adha 2023
1,Telur Ayam Ras Segar,05/06/2023,31250,Idul Adha 2023
V,Bawang Merah,05/06/2023,42650,Idul Adha 2023
