No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
2,Cabai Merah Keriting ,07/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,07/08/2017,31550,Idul Adha 2017
1,Cabai Rawit Hijau,07/08/2017,18100,Idul Adha 2017
2,Cabai Rawit Merah,07/08/2017,45000,Idul Adha 2017
IX,Minyak Goreng,07/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,07/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,07/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,07/08/2017,13600,Idul Adha 2017
X,Gula Pasir,07/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,07/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,07/08/2017,12900,Idul Adha 2017
I,Beras,08/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,08/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,08/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,08/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,08/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,08/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,08/08/2017,10750,Idul Adha 2017
II,Daging Ayam,08/08/2017,32000,Idul Adha 2017
1,Daging Ayam Ras Segar,08/08/2017,32000,Idul Adha 2017
III,Daging Sapi,08/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,08/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,08/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,08/08/2017,21650,Idul Adha 2017
1,Telur Ayam Ras Segar,08/08/2017,21650,Idul Adha 2017
V,Bawang Merah,08/08/2017,24000,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,08/08/2017,24000,Idul Adha 2017
VI,Bawang Putih,08/08/2017,38400,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,08/08/2017,38400,Idul Adha 2017
VII,Cabai Merah,08/08/2017,24950,Idul Adha 2017
1,Cabai Merah Besar,08/08/2017,27350,Idul Adha 2017
2,Cabai Merah Keriting ,08/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,08/08/2017,31150,Idul Adha 2017
1,Cabai Rawit Hijau,08/08/2017,17250,Idul Adha 2017
2,Cabai Rawit Merah,08/08/2017,45100,Idul Adha 2017
IX,Minyak Goreng,08/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,08/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,08/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,08/08/2017,13600,Idul Adha 2017
X,Gula Pasir,08/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,08/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,08/08/2017,12900,Idul Adha 2017
I,Beras,09/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,09/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,09/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,09/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,09/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,09/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,09/08/2017,10750,Idul Adha 2017
II,Daging Ayam,09/08/2017,32000,Idul Adha 2017
1,Daging Ayam Ras Segar,09/08/2017,32000,Idul Adha 2017
III,Daging Sapi,09/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,09/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,09/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,09/08/2017,21400,Idul Adha 2017
1,Telur Ayam Ras Segar,09/08/2017,21400,Idul Adha 2017
V,Bawang Merah,09/08/2017,23650,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,09/08/2017,23650,Idul Adha 2017
VI,Bawang Putih,09/08/2017,39250,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,09/08/2017,39250,Idul Adha 2017
VII,Cabai Merah,09/08/2017,24950,Idul Adha 2017
1,Cabai Merah Besar,09/08/2017,27350,Idul Adha 2017
2,Cabai Merah Keriting ,09/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,09/08/2017,30050,Idul Adha 2017
1,Cabai Rawit Hijau,09/08/2017,17400,Idul Adha 2017
2,Cabai Rawit Merah,09/08/2017,42650,Idul Adha 2017
IX,Minyak Goreng,09/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,09/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,09/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,09/08/2017,13600,Idul Adha 2017
X,Gula Pasir,09/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,09/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,09/08/2017,12900,Idul Adha 2017
I,Beras,10/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,10/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,10/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,10/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,10/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,10/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,10/08/2017,10750,Idul Adha 2017
II,Daging Ayam,10/08/2017,31900,Idul Adha 2017
1,Daging Ayam Ras Segar,10/08/2017,31900,Idul Adha 2017
III,Daging Sapi,10/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,10/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,10/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,10/08/2017,21400,Idul Adha 2017
1,Telur Ayam Ras Segar,10/08/2017,21400,Idul Adha 2017
V,Bawang Merah,10/08/2017,23650,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,10/08/2017,23650,Idul Adha 2017
VI,Bawang Putih,10/08/2017,37750,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,10/08/2017,37750,Idul Adha 2017
VII,Cabai Merah,10/08/2017,24750,Idul Adha 2017
1,Cabai Merah Besar,10/08/2017,26900,Idul Adha 2017
2,Cabai Merah Keriting ,10/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,10/08/2017,30200,Idul Adha 2017
1,Cabai Rawit Hijau,10/08/2017,18100,Idul Adha 2017
2,Cabai Rawit Merah,10/08/2017,42350,Idul Adha 2017
IX,Minyak Goreng,10/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,10/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,10/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,10/08/2017,13600,Idul Adha 2017
X,Gula Pasir,10/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,10/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,10/08/2017,12900,Idul Adha 2017
I,Beras,11/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,11/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,11/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,11/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,11/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,11/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,11/08/2017,10750,Idul Adha 2017
II,Daging Ayam,11/08/2017,31900,Idul Adha 2017
1,Daging Ayam Ras Segar,11/08/2017,31900,Idul Adha 2017
III,Daging Sapi,11/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,11/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,11/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,11/08/2017,21300,Idul Adha 2017
1,Telur Ayam Ras Segar,11/08/2017,21300,Idul Adha 2017
V,Bawang Merah,11/08/2017,23250,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,11/08/2017,23250,Idul Adha 2017
VI,Bawang Putih,11/08/2017,38000,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,11/08/2017,38000,Idul Adha 2017
VII,Cabai Merah,11/08/2017,24750,Idul Adha 2017
1,Cabai Merah Besar,11/08/2017,26900,Idul Adha 2017
2,Cabai Merah Keriting ,11/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,11/08/2017,29650,Idul Adha 2017
1,Cabai Rawit Hijau,11/08/2017,17400,Idul Adha 2017
2,Cabai Rawit Merah,11/08/2017,41900,Idul Adha 2017
IX,Minyak Goreng,11/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,11/08/2017,11100,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,11/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,11/08/2017,13600,Idul Adha 2017
X,Gula Pasir,11/08/2017,14400,Idul Adha 2017
1,Gula Pasir Kualitas Premium,11/08/2017,16000,Idul Adha 2017
2,Gula Pasir Lokal,11/08/2017,12750,Idul Adha 2017
I,Beras,14/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,14/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,14/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,14/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,14/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,14/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,14/08/2017,10750,Idul Adha 2017
II,Daging Ayam,14/08/2017,31750,Idul Adha 2017
1,Daging Ayam Ras Segar,14/08/2017,31750,Idul Adha 2017
III,Daging Sapi,14/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,14/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,14/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,14/08/2017,20450,Idul Adha 2017
1,Telur Ayam Ras Segar,14/08/2017,20450,Idul Adha 2017
V,Bawang Merah,14/08/2017,22650,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,14/08/2017,22650,Idul Adha 2017
VI,Bawang Putih,14/08/2017,37900,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,14/08/2017,37900,Idul Adha 2017
VII,Cabai Merah,14/08/2017,24900,Idul Adha 2017
1,Cabai Merah Besar,14/08/2017,27000,Idul Adha 2017
2,Cabai Merah Keriting ,14/08/2017,22750,Idul Adha 2017
VIII,Cabai Rawit,14/08/2017,29400,Idul Adha 2017
1,Cabai Rawit Hijau,14/08/2017,16900,Idul Adha 2017
2,Cabai Rawit Merah,14/08/2017,41850,Idul Adha 2017
IX,Minyak Goreng,14/08/2017,13050,Idul Adha 2017
1,Minyak Goreng Curah,14/08/2017,11250,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,14/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,14/08/2017,13600,Idul Adha 2017
X,Gula Pasir,14/08/2017,14400,Idul Adha 2017
1,Gula Pasir Kualitas Premium,14/08/2017,16000,Idul Adha 2017
2,Gula Pasir Lokal,14/08/2017,12750,Idul Adha 2017
I,Beras,15/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,15/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,15/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,15/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,15/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,15/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,15/08/2017,10750,Idul Adha 2017
II,Daging Ayam,15/08/2017,31400,Idul Adha 2017
1,Daging Ayam Ras Segar,15/08/2017,31400,Idul Adha 2017
III,Daging Sapi,15/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,15/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,15/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,15/08/2017,20450,Idul Adha 2017
1,Telur Ayam Ras Segar,15/08/2017,20450,Idul Adha 2017
V,Bawang Merah,15/08/2017,23000,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,15/08/2017,23000,Idul Adha 2017
VI,Bawang Putih,15/08/2017,37750,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,15/08/2017,37750,Idul Adha 2017
VII,Cabai Merah,15/08/2017,24900,Idul Adha 2017
1,Cabai Merah Besar,15/08/2017,27000,Idul Adha 2017
2,Cabai Merah Keriting ,15/08/2017,22750,Idul Adha 2017
VIII,Cabai Rawit,15/08/2017,28150,Idul Adha 2017
1,Cabai Rawit Hijau,15/08/2017,17600,Idul Adha 2017
2,Cabai Rawit Merah,15/08/2017,38750,Idul Adha 2017
IX,Minyak Goreng,15/08/2017,13050,Idul Adha 2017
1,Minyak Goreng Curah,15/08/2017,11250,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,15/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,15/08/2017,13600,Idul Adha 2017
X,Gula Pasir,15/08/2017,14400,Idul Adha 2017
1,Gula Pasir Kualitas Premium,15/08/2017,16000,Idul Adha 2017
2,Gula Pasir Lokal,15/08/2017,12750,Idul Adha 2017
I,Beras,16/08/2017,10400,Idul Adha 2017
1,Beras Kualitas Bawah I,16/08/2017,9200,Idul Adha 2017
2,Beras Kualitas Bawah II,16/08/2017,8700,Idul Adha 2017
3,Beras Kualitas Medium I,16/08/2017,10500,Idul Adha 2017
4,Beras Kualitas Medium II,16/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,16/08/2017,12500,Idul Adha 2017
6,Beras Kualitas Super II,16/08/2017,11550,Idul Adha 2017
II,Daging Ayam,16/08/2017,31800,Idul Adha 2017
1,Daging Ayam Ras Segar,16/08/2017,31800,Idul Adha 2017
III,Daging Sapi,16/08/2017,123050,Idul Adha 2017
1,Daging Sapi Kualitas 1,16/08/2017,127650,Idul Adha 2017
2,Daging Sapi Kualitas 2,16/08/2017,118450,Idul Adha 2017
IV,Telur Ayam,16/08/2017,21200,Idul Adha 2017
